level,disk,time
0, 2, 509.80000000000047
0, 4, 275.69999999999993
0, 6, 181.59999999999997
0, 8, 156.49999999999994
0, 10, 137.89999999999998
0, 12, 116.1
0, 14, 91.99999999999999
0, 16, 86.79999999999998
0, 18, 67.60000000000001
0, 20, 77.1
0, 22, 75.6
0, 24, 76.1
0, 26, 67.0
0, 28, 61.2
0, 30, 46.400000000000006
0, 32, 58.6
0, 34, 58.7
0, 36, 38.5
0, 38, 63.0
0, 40, 43.8
0, 42, 44.2
0, 44, 52.9
0, 46, 38.400000000000006
0, 48, 49.5
0, 50, 47.2
0, 52, 50.4
0, 54, 28.1
0, 56, 42.099999999999994
0, 58, 36.9
0, 60, 32.9
0, 62, 41.7
0, 64, 30.599999999999998
0, 66, 36.7
0, 68, 41.300000000000004
0, 70, 30.299999999999997
0, 72, 20.2
0, 74, 30.299999999999997
0, 76, 28.7
0, 78, 28.6
0, 80, 22.5
0, 82, 26.0
0, 84, 34.6
0, 86, 31.8
0, 88, 34.0
0, 90, 24.8
0, 92, 25.5
0, 94, 23.4
0, 96, 29.3
0, 98, 23.0
0, 100, 23.9
1, 2, 1005.4000000000016
1, 4, 509.80000000000047
1, 6, 386.1000000000002
1, 8, 275.69999999999993
1, 10, 272.59999999999997
1, 12, 181.59999999999997
1, 14, 164.99999999999994
1, 16, 156.49999999999994
1, 18, 134.09999999999997
1, 20, 137.89999999999998
1, 22, 109.19999999999999
1, 24, 116.1
1, 26, 106.59999999999998
1, 28, 91.99999999999999
1, 30, 115.39999999999998
1, 32, 86.79999999999998
1, 34, 97.1
1, 36, 67.60000000000001
1, 38, 93.59999999999998
1, 40, 77.1
1, 42, 75.80000000000001
1, 44, 75.6
1, 46, 84.79999999999998
1, 48, 76.1
1, 50, 79.1
1, 52, 67.0
1, 54, 60.6
1, 56, 61.2
1, 58, 70.7
1, 60, 46.400000000000006
1, 62, 71.5
1, 64, 58.6
1, 66, 54.2
1, 68, 58.7
1, 70, 48.8
1, 72, 38.5
1, 74, 47.9
1, 76, 63.0
1, 78, 48.2
1, 80, 43.8
1, 82, 40.4
1, 84, 44.2
1, 86, 48.099999999999994
1, 88, 52.9
1, 90, 48.9
1, 92, 38.400000000000006
1, 94, 35.2
1, 96, 49.5
1, 98, 43.2
1, 100, 47.2
4, 2, 1005.4000000000016
4, 4, 982.5000000000013
4, 6, 958.9000000000015
4, 8, 937.8000000000014
4, 10, 921.8000000000013
4, 12, 900.7000000000013
4, 14, 877.3000000000012
4, 16, 854.900000000001
4, 18, 834.5000000000008
4, 20, 814.4000000000007
4, 22, 794.0000000000007
4, 24, 775.2000000000005
4, 26, 757.0000000000007
4, 28, 741.0000000000008
4, 30, 724.7000000000005
4, 32, 706.9000000000005
4, 34, 690.1000000000006
4, 36, 673.3000000000004
4, 38, 658.6000000000006
4, 40, 644.5000000000005
4, 42, 630.1000000000001
4, 44, 615.8000000000004
4, 46, 600.2000000000003
4, 48, 586.0000000000001
4, 50, 572.1000000000004
4, 52, 559.2000000000003
4, 54, 547.1000000000003
4, 56, 534.5000000000005
4, 58, 521.8000000000003
4, 60, 510.00000000000034
4, 62, 498.7000000000004
4, 64, 486.7000000000003
4, 66, 475.9000000000002
4, 68, 465.2
4, 70, 454.9000000000002
4, 72, 444.2000000000001
4, 74, 434.9000000000004
4, 76, 424.90000000000003
4, 78, 416.30000000000007
4, 80, 408.2000000000001
4, 82, 399.0999999999999
4, 84, 390.69999999999993
4, 86, 382.69999999999993
4, 88, 374.70000000000005
4, 90, 365.7
4, 92, 358.80000000000007
4, 94, 351.30000000000007
4, 96, 343.7999999999998
4, 98, 337.1999999999999
4, 100, 330.00000000000017
5, 2, 1005.4000000000016
5, 4, 497.40000000000043
5, 6, 345.9000000000001
5, 8, 290.9
5, 10, 225.89999999999992
5, 12, 224.2999999999999
5, 14, 160.69999999999996
5, 16, 165.69999999999996
5, 18, 154.79999999999995
5, 20, 126.49999999999997
5, 22, 121.19999999999997
5, 24, 111.5
5, 26, 106.39999999999998
5, 28, 124.2
5, 30, 80.19999999999999
5, 32, 84.89999999999999
5, 34, 89.1
5, 36, 78.4
5, 38, 81.69999999999999
5, 40, 66.5
5, 42, 69.39999999999999
5, 44, 73.8
5, 46, 70.7
5, 48, 68.4
5, 50, 61.0
5, 52, 61.0
5, 54, 50.5
5, 56, 50.5
5, 58, 50.5
5, 60, 47.4
5, 62, 65.2
5, 64, 47.5
5, 66, 52.6
5, 68, 43.4
5, 70, 51.70000000000001
5, 72, 37.8
5, 74, 42.400000000000006
5, 76, 35.599999999999994
5, 78, 36.5
5, 80, 41.8
5, 82, 40.5
5, 84, 41.8
5, 86, 38.1
5, 88, 39.49999999999999
5, 90, 35.6
5, 92, 37.7
5, 94, 38.3
5, 96, 43.900000000000006
5, 98, 30.1
5, 100, 30.299999999999997
